,major_violation_personal_hygiene,restaurant_address_address,restaurant_address_city,:@computed_region_5s6d_2f32,minor_violation_personal_hygiene,:@computed_region_x3q3_gi3e,major_violation_inadequate_cooking,major_violation_improper_holding_temperature,restaurant_address_zip,major_violation_unsafe_food_source,inspection_date,:@computed_region_3ini_iehf,w3alcd,minor_violation_unsafe_food_source,major_violation_contaminated_equipment,minor_violation_improper_holding_temperature,minor_violation_inadequate_cooking,minor_violation_contaminated_equipment,indbdate,restaurant_address_state,doing_business_as,:@computed_region_5bih_7r3y,coordinates,major_sum,minor_sum
0,0,1900 M L KING JR WY,BERKELEY,,0,,0,0,,0,2018-10-18T00:00:00.000,,FA0000087,0,0,0,0,0,2019-10-14T05:00:01.000,CA,#1 GAS  1099/1616,,,0,0
1,0,1775 SOLANO AVE,BERKELEY,1499,0,3,0,0,,0,2019-08-14T00:00:00.000,1,FA0001360,0,0,0,0,0,2019-10-14T05:00:01.000,CA,24 HOUR FITNESS #704,14,"[-122.280682, 37.891296]",0,0
2,0,2900 COLLEGE AVE,BERKELEY,1497,0,6,0,0,,0,2019-06-26T00:00:00.000,13,FA0001954,0,0,0,0,0,2019-10-14T05:00:02.000,CA,2900 COLLEGE AVE CAFFE LLC,19,"[-122.253179, 37.858356]",0,0
3,0,1501 UNIVERSITY AVE,BERKELEY,1495,0,5,0,1,,0,2019-08-09T00:00:00.000,8,FA0000090,0,0,0,0,0,2019-10-14T05:00:01.000,CA,7-ELEVEN/1501UNIV  1099/1615,6,"[-122.281552, 37.870513]",1,0
4,0,2887 COLLEGE AVE,BERKELEY,1497,0,6,0,0,,0,2019-05-03T00:00:00.000,13,FA0000539,0,0,0,0,0,2019-10-14T05:00:01.000,CA,7-ELEVEN #16192  1099/1615,19,"[-122.253219, 37.858756]",0,0
5,0,2601 TELEGRAPH AVE,BERKELEY,1496,0,6,0,0,,0,2019-06-03T00:00:00.000,12,FA0000709,0,0,0,0,0,2019-10-14T05:00:01.000,CA,7-ELEVEN STORE  1099/1615,20,"[-122.25868, 37.863091]",0,0
6,0,2000 SAN PABLO AVE,BERKELEY,1494,0,8,0,0,,0,2018-10-03T00:00:00.000,6,FA0001333,0,0,0,0,0,2019-10-14T05:00:01.000,CA,7-ELEVEN STORE #2369-36482A,28,"[-122.292131, 37.868815]",0,0
7,0,900 GRAYSON ST,BERKELEY,1502,0,8,0,0,,0,2019-07-31T00:00:00.000,5,FA0000442,0,0,0,0,0,2019-10-14T05:00:01.000,CA,900 GRAYSON,11,"[-122.292357, 37.855317]",0,0
8,0,1941 SAN PABLO AVE,BERKELEY,1494,0,5,0,0,,0,2019-06-11T00:00:00.000,6,FA0000266,0,0,0,0,0,2019-10-14T05:00:01.000,CA,99C ONLY STORES,2,"[-122.292391, 37.870123]",0,0
9,0,2340 TELEGRAPH AVE,BERKELEY,1496,0,2,0,0,,0,2019-04-16T00:00:00.000,12,FA0001810,0,0,0,0,0,2019-10-14T05:00:02.000,CA,ABE'S PIZZA,18,"[-122.259034, 37.868001]",0,0
